x1	y1	x2	y2
213	22	247	55
196	0	228	19
218	0	239	26
249	70	275	91
231	104	254	135
7	77	28	122
0	108	16	136
14	109	44	142
20	162	51	194
26	190	56	218
52	285	81	314
42	356	71	384
5	404	31	438
102	360	137	397
140	312	173	343
216	265	246	296
261	273	289	302
281	243	312	283
255	306	280	331
301	338	325	368
287	369	314	396
235	373	263	392
195	401	229	429
163	420	194	447
119	445	147	473
90	466	128	492
357	502	381	530
363	568	387	598
367	326	393	356
363	343	388	368
372	367	404	402
389	338	419	375
365	226	393	255
349	263	384	283
368	185	396	212
377	172	403	197
387	142	412	170
408	137	440	170
338	134	360	157
374	109	405	132
383	56	419	83
421	0	452	20
484	29	506	56
538	13	575	44
537	40	582	66
594	35	626	66
548	0	579	18
593	162	627	200
582	230	604	260
511	299	552	325
525	311	562	337
509	343	540	367
544	353	586	384
569	349	604	384
558	384	590	414
558	287	587	320
646	497	679	526
687	553	715	584
611	259	643	284
667	226	695	254
670	196	700	219
703	185	737	219
727	255	752	291
749	262	795	305
761	179	785	204
799	134	830	164
826	129	854	157
898	73	944	104
775	37	807	66
731	0	764	28
786	1	814	18
508	154	537	179
468	146	499	171
683	155	720	184
800	244	843	275
25	701	64	719
44	688	63	710
399	611	427	639
401	620	430	650
434	593	468	624
511	538	537	561
588	632	619	659
715	637	739	664
748	689	794	718
733	673	764	701
840	727	865	751
848	742	876	768
862	715	886	738
882	718	904	740
758	803	790	831
714	782	738	810
726	728	757	752
743	725	771	752
559	800	580	826
555	732	579	758
566	758	592	786
591	749	621	778
519	767	548	795
507	779	534	807
416	732	439	761
452	702	482	731
364	684	395	710
345	663	369	690
286	665	313	682
285	694	307	711
253	676	295	708
189	661	228	684
172	655	206	682
186	677	211	704
211	671	242	698
157	693	186	716
197	751	218	776
0	822	20	849
0	897	11	918
69	869	93	897
113	852	143	878
300	762	327	789
336	722	359	747
352	759	378	791
311	840	338	870
287	798	319	829
239	906	273	941
83	970	112	991
149	975	173	1005
356	954	381	973
321	976	362	1008
202	982	227	1009
597	901	627	930
609	821	635	841
540	664	560	687
693	856	718	882
624	854	657	876
637	889	671	912
688	905	710	934
629	918	663	947
616	971	654	1003
658	987	687	1006
688	975	722	1001
847	884	877	910
884	865	915	891
886	884	908	905
911	921	935	946
848	937	883	961
837	507	865	538
769	499	803	520
761	518	786	543
763	467	801	493
804	434	832	460
887	440	913	464
900	416	941	449
910	472	947	507
931	541	958	565
873	556	903	576
871	635	900	653
78	1014	116	1052
0	1146	12	1164
3	1158	35	1197
25	1184	49	1199
177	1039	203	1058
268	1038	287	1066
343	1047	369	1076
350	997	377	1024
314	1114	344	1138
335	1102	364	1130
471	1047	495	1073
540	1075	570	1108
616	1076	645	1099
585	1160	613	1186
651	1139	677	1164
601	1192	628	1199
710	1124	737	1155
675	1075	705	1108
688	1059	721	1095
699	1045	727	1073
849	902	884	932
1003	956	1036	986
934	995	961	1019
934	1025	961	1055
933	1114	968	1142
924	1171	940	1197
892	1188	922	1199
995	1128	1025	1154
1014	1128	1040	1151
1011	1109	1044	1135
1059	1158	1089	1179
1035	1163	1060	1187
1023	1185	1051	1202
1286	1175	1311	1197
1219	1117	1247	1146
1414	1166	1445	1194
1421	1179	1443	1199
1257	746	1290	772
1106	805	1132	835
1080	843	1113	873
1036	771	1065	803
1030	806	1061	830
991	801	1018	824
924	765	946	780
944	758	972	778
1153	812	1180	839
1070	730	1093	751
1092	729	1128	755
1138	702	1169	734
1226	830	1259	858
1200	882	1227	910
1205	921	1233	948
1308	880	1332	912
1095	969	1123	993
970	963	1002	983
993	1002	1022	1023
1066	1031	1103	1059
1098	996	1135	1023
1111	1019	1142	1043
1246	1066	1280	1091
1333	1087	1359	1118
1340	1135	1368	1162
1417	1111	1450	1135
1401	1027	1441	1060
1396	1051	1432	1073
1529	1045	1553	1068
1555	1145	1595	1179
1545	1183	1575	1199
1499	943	1529	973
1482	920	1511	943
1406	928	1433	949
1497	772	1526	803
1526	784	1557	814
1553	922	1589	950
1593	877	1599	899
1511	732	1541	761
1495	713	1537	742
1486	668	1516	689
1412	645	1439	668
1391	633	1426	656
1359	743	1385	767
1252	655	1307	696
1214	637	1231	663
1233	621	1264	644
1213	590	1236	616
1288	606	1317	629
1124	657	1158	690
1057	580	1088	605
998	573	1025	601
1026	573	1053	599
966	363	987	393
1012	343	1050	378
1025	401	1056	425
1102	443	1130	471
904	342	925	362
1160	457	1190	483
1126	519	1152	541
1214	401	1241	424
1101	296	1137	317
1141	275	1167	297
1189	262	1215	292
1099	199	1124	223
1116	180	1142	209
1030	167	1059	201
1089	351	1112	374
1096	332	1125	354
953	279	987	309
948	251	995	272
902	257	953	294
1236	268	1278	295
1251	299	1282	320
1286	302	1311	325
1278	330	1303	350
1285	371	1302	396
1276	483	1311	508
1345	494	1378	518
1276	534	1321	573
1517	496	1551	530
1524	453	1562	482
1565	394	1597	421
1591	350	1600	376
1450	456	1479	483
1363	431	1387	452
1318	286	1349	316
1339	305	1371	336
1454	319	1478	350
1448	346	1474	373
1485	329	1511	355
1470	302	1514	335
1515	308	1544	337
1541	313	1570	336
1571	320	1597	345
1445	213	1479	253
1184	205	1212	232
1160	164	1188	190
1186	288	1219	314
1080	235	1110	260
1073	262	1116	294
1158	243	1190	280
1509	176	1546	201
1474	-1	1502	18
1452	10	1488	41
1516	55	1546	80
1248	57	1271	85
1092	118	1118	144
1041	70	1073	102
1023	2	1059	37
1002	41	1038	65
1028	-1	1056	10
962	80	989	100
938	136	964	160
872	154	904	182
816	84	847	109
924	19	956	43
919	1	946	24
1145	0	1204	25
1517	0	1541	9
1594	31	1599	55
1414	338	1438	363
965	0	992	10
581	58	611	84
702	241	737	271
892	93	926	129
279	975	307	998
1513	1139	1557	1178
1559	1085	1601	1118
1535	1014	1595	1046
1266	937	1309	964
1296	950	1326	968
1320	941	1343	958
1273	972	1295	991
1283	986	1311	1004
1318	843	1341	873
914	1109	948	1131
1457	84	1495	118
1406	98	1441	126
1570	196	1599	238
1537	165	1560	190
1373	49	1400	74
1531	10	1569	36
905	48	934	80
672	318	694	350
40	46	80	80
16	382	43	399
