x1	y1	x2	y2
408	497	449	539
325	537	374	574
202	587	239	609
229	122	291	147
921	63	963	93
807	178	852	218
383	383	418	440
623	309	664	365
202	618	284	651
260	602	317	630
445	572	509	617
5	610	52	668
152	822	208	865
239	1153	291	1188
533	1161	561	1195
509	1021	548	1086
579	1125	615	1177
624	1117	641	1163
728	1124	773	1165
884	968	925	1000
918	826	974	859
1040	868	1076	899
949	1097	995	1157
896	643	954	679
1357	218	1387	241
1444	221	1482	258
1286	324	1331	366
1235	374	1293	419
