x1	y1	x2	y2
34	5	105	94
1	147	65	214
174	182	241	262
159	208	228	259
400	151	474	221
398	16	462	111
435	32	491	102
524	-1	598	71
778	0	838	43
891	246	956	303
851	298	924	413
695	270	768	359
669	235	757	347
603	142	666	244
512	319	613	436
473	325	521	379
687	55	722	100
396	355	459	432
310	347	389	418
233	380	309	442
214	348	302	413
142	491	218	551
309	281	395	361
635	459	679	504
537	491	608	578
188	769	246	833
319	778	407	862
333	931	438	1050
314	1058	405	1148
257	1094	344	1186
178	1093	247	1164
421	1131	517	1200
459	1159	511	1197
602	1058	732	1143
706	1031	767	1120
590	1173	672	1198
758	1149	866	1200
810	1118	878	1198
642	897	770	990
774	622	860	721
794	571	851	633
834	800	912	883
936	966	980	1067
864	1011	994	1134
1011	838	1079	905
1061	861	1133	943
1119	818	1178	876
1116	937	1186	981
1075	1043	1162	1097
1084	1121	1164	1173
1219	1126	1312	1199
1347	1125	1472	1200
1414	1081	1505	1168
1492	1092	1579	1185
1544	997	1597	1076
1341	963	1413	1074
1497	834	1584	938
1198	718	1256	782
1188	760	1284	834
1240	807	1326	872
1248	957	1314	1022
1209	498	1312	606
1129	526	1247	628
1196	452	1272	556
1313	543	1430	628
1003	346	1049	389
999	289	1057	361
1138	285	1193	340
1394	395	1436	437
1529	383	1589	456
1552	403	1599	481
1381	279	1471	369
1258	257	1367	352
1279	259	1341	322
1313	266	1367	327
1018	41	1099	94
1211	129	1282	204
1564	145	1599	227
1551	82	1598	164
1043	0	1089	34
1137	0	1191	15
1285	0	1319	30
1296	1	1369	47
1456	1	1499	42
316	572	436	674
1043	770	1142	878
