x1	y1	x2	y2	celltype
208	62	329	155	1
193	147	296	239	1
649	59	743	191	1
756	94	830	192	1
500	58	577	159	1
1208	71	1315	169	1
329	320	450	436	1
279	416	385	490	1
463	581	579	692	1
666	225	778	332	1
643	302	768	401	1
217	543	298	625	1
153	576	283	685	1
94	649	226	739	1
0	784	101	957	1
0	856	127	968	1
124	911	198	1016	1
18	978	107	1059	1
413	874	534	1031	1
647	690	763	819	1
974	682	1109	804	1
891	944	1008	1050	1
235	952	309	1047	1
17	1032	102	1096	1
1245	608	1333	701	1
1493	727	1584	828	1
1535	1008	1598	1105	1
795	298	875	380	1
1322	83	1428	200	1
809	212	895	294	3
1016	292	1054	346	3
1059	297	1080	347	3
1040	376	1070	425	3
907	348	964	389	3
1023	446	1053	484	3
974	557	1007	606	3
943	591	980	633	3
1568	323	1598	348	3
1554	356	1599	392	3
1499	345	1562	380	3
1464	376	1530	416	3
1424	381	1495	434	3
1373	429	1463	511	3
540	294	586	327	3
326	74	393	120	3
13	214	83	251	3
397	4	453	57	3
417	26	459	68	3
757	553	792	594	3
432	469	494	527	1
114	473	149	551	1
60	463	113	507	3
182	480	234	519	3
123	1118	184	1187	3
201	843	238	880	3
188	926	223	959	3
75	785	133	838	3
706	1006	767	1059	3
659	1091	716	1123	3
885	890	946	939	3
818	799	843	850	3
1061	912	1109	938	3
1118	918	1181	950	3
1172	906	1251	981	3
1315	966	1351	1009	3
1233	1100	1270	1126	3
1215	1104	1277	1137	3
1146	1166	1192	1198	3
1406	903	1432	940	3
1296	1157	1391	1202	1
1301	1148	1341	1186	2
1242	1064	1275	1095	3
1310	1027	1340	1063	2
1371	983	1403	1019	2
1431	977	1460	1010	2
1407	1005	1434	1032	2
1428	1063	1466	1096	2
1450	1144	1482	1172	2
1512	1051	1554	1096	2
1544	1043	1579	1086	2
1561	990	1594	1023	2
1574	940	1599	977	2
1554	937	1580	960	2
1564	885	1599	936	2
1519	898	1560	933	2
1563	798	1590	840	2
1489	816	1524	852	2
1459	795	1490	830	2
1555	722	1584	760	2
1584	627	1599	647	2
1524	602	1555	637	2
1548	539	1579	570	2
1551	459	1595	495	2
1404	517	1431	561	3
1418	876	1445	900	2
1380	864	1415	894	2
1440	917	1473	954	2
1355	854	1384	882	2
1306	892	1339	921	2
1299	920	1339	961	2
1359	915	1402	939	3
1403	833	1504	893	1
1468	990	1495	1021	2
1473	1037	1504	1074	2
1139	1008	1172	1038	2
1130	984	1158	1012	2
1140	954	1163	982	2
1164	967	1190	993	2
1135	883	1168	912	2
1074	999	1120	1031	2
1047	998	1081	1033	2
964	1019	996	1057	2
898	1031	924	1058	2
838	1067	874	1096	2
836	1103	869	1137	2
914	1144	944	1180	2
897	1174	929	1200	2
1198	827	1226	857	2
1156	817	1185	850	2
1173	782	1201	817	2
1186	773	1216	805	2
1197	741	1232	774	2
1252	752	1282	789	2
1260	776	1300	811	2
1378	790	1408	822	2
1363	772	1431	807	2
1366	748	1396	773	2
1375	681	1409	710	2
1358	691	1464	742	1
1327	643	1366	677	2
1218	616	1247	651	2
1144	632	1189	669	2
1093	621	1145	657	2
1048	660	1093	689	2
1027	728	1056	750	2
990	689	1069	752	1
963	636	997	667	2
954	651	1031	711	3
973	760	1007	802	2
1000	857	1037	892	2
973	934	1000	970	2
943	929	981	969	2
901	942	934	975	2
882	835	915	871	2
860	800	891	836	2
791	827	825	855	2
772	830	805	866	2
763	867	791	902	2
756	900	784	930	2
808	880	849	909	2
1361	557	1391	586	2
796	1036	836	1076	2
750	1046	780	1069	2
722	1051	759	1081	2
739	1127	784	1166	2
727	1159	764	1195	2
681	1128	710	1153	2
626	1149	673	1180	3
659	1191	683	1201	2
585	1191	612	1199	2
633	1068	658	1096	2
573	1072	606	1103	2
655	972	683	1001	2
669	945	699	970	2
607	882	641	917	2
528	859	569	898	2
484	997	510	1028	2
415	994	438	1026	2
456	910	488	948	2
502	914	533	945	2
520	954	559	992	2
495	825	533	860	2
657	803	692	836	2
683	791	712	826	2
711	776	740	801	2
727	744	756	767	2
738	694	771	727	2
687	715	716	746	2
623	766	671	798	2
539	1007	584	1043	2
458	1017	484	1047	2
453	1097	484	1128	2
364	1053	396	1080	2
319	1054	350	1085	2
300	1035	333	1064	2
219	1067	252	1097	2
8	1146	38	1181	2
25	1160	57	1190	2
10	1017	38	1052	2
68	977	103	1018	2
97	1024	169	1080	1
86	985	153	1039	1
159	1002	194	1038	2
116	909	179	953	2
84	932	145	954	2
53	875	98	908	2
98	892	136	921	2
82	859	120	889	2
26	856	65	884	2
-2	852	13	884	2
0	883	97	969	3
0	767	49	817	3
132	842	167	870	2
155	844	196	883	2
166	798	197	837	2
87	740	113	766	2
272	739	301	771	2
233	804	261	833	2
253	817	284	841	2
265	838	294	869	2
255	898	299	929	2
373	889	408	921	2
363	799	399	832	2
355	739	386	778	2
409	674	444	715	2
457	688	495	738	2
430	757	476	799	2
500	667	530	695	2
528	649	561	679	2
556	619	586	655	2
61	676	88	710	2
