x1	y1	x2	y2	celltype
210	16	321	106	1
241	74	360	133	1
104	137	193	236	1
119	192	219	297	1
54	285	138	381	1
192	250	314	322	1
215	222	319	320	1
257	257	371	338	1
385	251	473	326	1
515	203	618	318	1
604	240	707	305	1
490	40	564	123	1
674	-1	768	59	1
666	101	790	208	1
833	37	936	105	1
253	383	353	485	1
277	449	357	543	1
81	486	160	553	1
11	420	92	524	1
594	399	719	479	1
773	143	837	243	1
925	148	998	270	1
1027	118	1125	245	1
1071	165	1136	235	1
1232	74	1353	124	1
1303	290	1419	345	1
1310	440	1429	514	1
1143	444	1223	512	1
1195	526	1294	578	1
1380	92	1469	207	1
935	472	1035	545	1
841	364	927	443	1
1009	584	1089	674	1
1101	709	1181	776	1
1201	756	1308	809	1
818	539	922	643	1
793	556	875	649	1
690	485	787	578	1
646	554	759	654	1
619	503	723	602	1
1381	94	1520	207	1
1524	473	1600	527	1
1563	680	1599	739	1
824	756	913	875	1
1066	825	1193	887	1
1475	1023	1542	1142	1
1272	1060	1401	1156	1
1209	1095	1349	1164	1
1302	764	1409	856	1
1038	965	1113	1068	1
977	869	1056	962	1
859	983	938	1091	1
786	1005	879	1079	1
758	931	841	1019	1
682	861	762	936	1
683	981	764	1061	1
659	1028	746	1127	1
780	1075	851	1196	1
812	1129	906	1191	1
1481	781	1574	869	1
1513	810	1592	910	1
150	535	254	619	1
58	581	163	673	1
202	574	313	677	1
336	575	416	653	1
587	665	700	743	1
407	632	524	718	1
523	782	585	863	1
539	895	627	977	1
557	1125	623	1196	1
422	945	508	1023	1
315	998	403	1078	1
151	1002	258	1090	1
313	1117	399	1191	1
341	1106	476	1198	1
375	845	471	933	1
257	690	346	755	1
246	729	339	788	1
127	663	188	769	1
73	758	173	825	1
13	765	107	860	1
24	661	152	751	1
21	983	95	1090	1
173	1065	269	1151	1
129	904	216	1020	1
92	887	203	940	1
169	852	272	930	1
403	718	493	824	1
252	880	370	983	1
178	941	269	1014	1
102	1130	151	1158	3
93	1163	137	1190	3
440	921	485	963	3
626	932	670	962	3
891	343	948	405	3
858	417	912	456	3
1517	584	1556	639	3
1386	502	1428	538	3
1469	559	1515	604	3
1121	1158	1190	1199	1
1342	941	1396	976	3
1375	927	1428	977	3
1158	156	1209	189	3
