x1	y1	x2	y2
772	474	829	521	57
413	20	446	66	33
388	71	411	100	23
350	36	382	64	32
324	59	351	87	27
280	43	304	70	24
212	48	248	78	36
217	0	244	6	27
167	0	191	7	24
91	7	114	28	23
56	0	80	19	24
2	19	36	55	34
-1	43	21	77	22
-2	77	27	107	29
24	55	74	100	50
3	102	37	138	34
31	104	58	147	27
65	115	103	147	38
110	71	151	117	41
151	154	182	183	31
98	200	128	229	30
177	141	214	171	37
219	101	262	137	43
283	119	327	154	44
363	146	402	184	39
398	182	446	224	48
410	108	443	137	33
280	201	309	229	29
192	251	217	285	25
162	250	197	278	35
163	278	192	307	29
200	275	231	303	31
53	339	82	370	29
33	280	80	316	47
117	280	136	295	19
1	349	43	378	42
0	310	15	328	15
0	375	28	401	28
284	284	330	326	46
341	302	381	345	40
357	263	389	292	32
381	245	418	280	37
395	230	430	267	35
416	230	436	251	20
426	225	451	250	25
447	237	469	271	22
404	274	431	307	27
290	365	319	389	29
531	101	556	129	25
564	69	598	97	34
561	48	598	69	37
601	0	642	23	41
654	1	697	33	43
517	70	553	100	36
553	144	584	166	31
639	168	683	199	44
602	179	641	210	39
584	188	619	225	35
602	204	632	240	30
617	232	644	254	27
607	241	641	264	34
559	212	598	251	39
551	221	580	240	29
538	207	565	231	27
668	149	712	186	44
707	135	753	176	46
679	99	736	144	57
667	85	701	118	34
721	108	756	148	35
755	121	788	156	33
771	101	804	137	33
796	102	829	138	33
821	99	851	135	30
841	81	870	108	29
821	23	871	54	50
851	30	874	49	23
861	95	887	133	26
866	0	921	20	55
910	86	942	109	32
905	140	943	181	38
839	189	875	218	36
905	181	936	214	31
870	213	898	234	28
847	215	893	248	46
835	244	883	278	48
513	238	548	262	35
498	271	533	306	35
545	298	581	325	36
550	313	580	339	30
553	332	587	363	34
506	328	550	365	44
477	351	517	384	40
421	407	452	439	31
493	414	522	441	29
379	454	414	482	35
446	476	472	503	26
370	531	398	561	28
337	563	370	602	33
275	470	299	494	24
270	539	297	568	27
261	425	289	452	28
255	398	286	419	31
379	359	409	381	30
227	315	257	332	30
162	417	200	439	38
170	452	203	481	33
116	434	145	461	29
90	445	132	473	42
69	492	90	515	21
-1	520	24	554	25
13	516	43	554	30
67	557	100	592	33
74	580	110	614	36
115	557	136	582	21
139	590	169	612	30
435	533	464	556	29
456	520	489	543	33
490	473	521	507	31
513	577	549	612	36
562	457	588	478	26
523	427	569	465	46
531	491	562	519	31
600	458	622	481	22
618	439	643	471	25
607	445	641	488	34
649	459	678	484	29
701	435	734	479	33
737	456	763	478	26
835	427	861	465	26
832	456	865	489	33
912	295	949	329	37
893	321	913	351	20
861	346	897	378	36
891	360	922	386	31
906	338	940	366	34
901	324	946	350	45
933	528	970	567	37
893	533	925	567	32
914	578	939	600	25
607	523	642	548	35
385	639	414	666	29
171	624	205	661	34
209	650	252	684	43
241	628	276	651	35
108	640	151	675	43
110	658	139	689	29
76	680	110	710	34
24	660	51	685	27
32	648	86	692	54
57	613	94	636	37
92	586	136	632	44
245	713	271	738	26
101	746	132	773	31
54	728	100	759	46
15	789	44	812	29
94	800	129	833	35
150	764	205	805	55
172	752	219	786	47
179	738	212	769	33
131	756	166	790	35
459	698	488	722	29
604	622	632	654	28
611	626	628	643	17
645	629	671	653	26
676	614	718	644	42
719	603	756	634	37
762	599	788	625	26
825	613	877	650	52
880	626	923	659	43
946	643	970	670	24
935	666	963	698	28
856	648	886	688	30
841	653	871	691	30
590	723	611	746	21
618	739	663	784	45
621	724	643	752	22
640	706	668	726	28
654	695	680	714	26
739	672	767	697	28
854	772	890	811	36
802	792	835	824	33
814	730	856	770	42
799	749	842	783	43
874	749	916	772	42
920	803	956	845	36
892	811	917	832	25
887	840	916	865	29
858	884	908	918	50
815	862	849	892	34
811	869	847	903	36
791	896	817	919	26
813	902	847	940	34
685	849	711	874	26
696	827	719	852	23
595	852	634	888	39
600	834	630	862	30
603	825	627	840	24
583	833	613	860	30
572	852	606	882	34
542	856	583	899	41
519	901	559	942	40
491	768	520	802	29
498	768	517	789	19
521	790	563	813	42
464	870	499	903	35
316	783	364	823	48
321	757	354	791	33
382	855	414	886	32
582	911	607	940	25
627	954	652	979	25
416	1002	451	1034	35
156	842	186	876	30
175	840	207	873	32
94	865	130	900	36
107	884	134	911	27
107	876	150	909	43
145	867	175	897	30
151	885	181	925	30
151	896	180	938	29
181	872	214	899	33
191	894	216	930	25
211	871	247	904	36
72	855	106	881	34
117	833	152	864	35
197	925	230	957	33
192	961	220	981	28
196	984	226	1009	30
170	957	202	989	32
59	1003	85	1028	26
66	991	101	1017	35
3	977	38	1018	35
-2	943	23	978	25
-1	839	12	864	13
84	1046	113	1077	29
146	1085	185	1113	39
90	1169	117	1197	27
56	1168	76	1198	20
27	1167	59	1194	32
27	1192	51	1201	24
7	1137	36	1178	29
-1	1084	24	1129	25
-2	1103	13	1131	15
216	1125	250	1156	34
276	1123	298	1148	22
290	1160	310	1183	20
266	1168	292	1193	26
237	1189	268	1199	31
226	1063	253	1090	27
230	1032	269	1059	39
261	1027	298	1050	37
358	1028	392	1055	34
360	1048	393	1083	33
403	1121	450	1166	47
383	1144	414	1172	31
477	1112	504	1138	27
476	1134	499	1164	23
455	1071	493	1102	38
453	992	495	1029	42
574	1068	599	1095	25
625	1071	657	1100	32
666	1024	713	1060	47
709	1005	740	1048	31
737	983	778	1013	41
734	981	779	1021	45
769	965	809	993	40
803	991	838	1026	35
713	1068	745	1107	32
737	1091	770	1123	33
703	1113	734	1152	31
755	1120	787	1146	32
721	1172	771	1200	50
861	1132	917	1183	56
826	1110	859	1145	33
802	1121	835	1149	33
786	1103	818	1128	32
780	1134	813	1163	33
781	1174	827	1200	46
827	1191	859	1198	32
917	1189	943	1200	26
893	1065	936	1100	43
919	969	957	993	38
866	1042	902	1083	36
842	1059	884	1091	42
1442	1089	1475	1119	33
1338	1018	1366	1051	28
1353	1038	1376	1068	23
1383	1089	1406	1113	23
1386	1120	1409	1154	23
1361	1185	1395	1199	34
1030	1184	1055	1200	25
1474	1189	1504	1199	30
1497	1164	1529	1193	32
1514	1156	1537	1174	23
1407	1055	1438	1080	31
1437	1040	1471	1071	34
1577	955	1601	989	24
1528	962	1548	980	20
1511	952	1536	979	25
1498	937	1534	963	36
1463	877	1490	903	27
1436	933	1460	964	24
1561	833	1599	872	38
1550	856	1576	883	26
1587	812	1599	843	12
1471	777	1511	809	40
1421	806	1445	824	24
1340	853	1366	876	26
1344	871	1372	901	28
1314	932	1341	960	27
1336	921	1358	949	22
1350	904	1395	946	45
1342	933	1375	963	33
1292	875	1336	911	44
1311	851	1344	877	33
