x1	y1	x2	y2
64	79	86	109
59	109	82	128
16	114	51	147
22	81	43	108
-1	121	14	146
12	146	40	176
22	196	61	230
67	175	94	201
182	131	207	154
206	110	232	139
167	214	202	243
167	201	195	226
207	233	233	256
191	241	221	271
159	265	183	293
223	214	253	255
242	267	269	302
318	126	350	154
380	137	412	168
394	119	426	152
424	79	455	112
396	75	420	102
710	11	740	37
821	25	854	55
876	7	917	47
914	102	939	124
936	97	965	122
933	132	958	153
944	128	973	153
948	148	974	175
894	236	924	265
878	214	929	253
924	217	956	251
949	224	986	260
944	254	976	284
853	353	884	380
865	373	892	402
899	366	924	392
935	342	960	365
932	368	954	388
568	161	588	185
711	84	738	111
748	102	780	137
805	136	833	165
789	146	826	179
716	171	745	195
693	167	729	192
675	193	698	218
660	105	699	140
576	188	600	216
576	220	600	245
577	238	598	263
567	271	586	290
581	301	603	328
639	333	672	368
484	212	515	249
393	251	421	274
359	243	392	269
334	229	356	253
502	299	534	331
500	346	521	375
488	373	511	404
203	386	234	405
293	394	319	420
294	423	319	449
341	428	392	471
314	404	345	434
335	409	364	435
382	421	421	446
343	474	364	494
171	332	201	358
199	316	226	340
156	292	188	323
154	353	178	377
137	392	176	420
113	427	160	470
6	468	43	501
11	516	43	549
83	578	116	616
211	566	244	608
606	450	635	489
643	431	700	463
682	472	704	491
695	476	716	497
714	488	751	521
791	454	825	490
789	380	822	415
929	555	963	595
863	557	898	604
882	531	920	566
761	530	793	558
730	541	770	574
562	493	599	531
525	541	558	575
551	560	582	583
542	592	572	618
566	622	587	643
633	605	668	634
77	684	107	712
80	710	122	741
74	714	95	742
94	744	112	766
96	768	123	794
133	688	166	709
152	679	186	704
135	644	191	678
56	851	92	877
26	881	59	913
8	913	32	938
74	972	89	990
104	935	144	978
141	972	181	1011
210	1049	242	1085
281	1057	319	1095
330	977	359	1000
302	853	324	875
314	830	349	859
330	783	372	822
410	862	433	885
446	845	470	867
453	832	476	861
456	815	480	845
412	987	445	1017
395	1050	417	1072
381	1051	411	1088
345	1058	367	1080
358	1077	383	1108
290	1133	318	1160
185	1104	219	1131
240	1089	278	1118
38	1060	65	1089
36	1106	66	1132
64	1114	98	1139
19	1130	53	1156
482	1057	529	1089
524	1006	552	1043
516	979	549	1006
564	930	607	974
618	878	640	900
251	1174	273	1194
267	1191	290	1199
159	1165	197	1195
1	1160	24	1184
0	1174	14	1199
623	1134	649	1165
666	1134	687	1160
782	1177	808	1198
856	1141	890	1175
877	1112	917	1152
880	1172	904	1197
899	1170	939	1199
942	1167	966	1197
832	994	880	1031
841	951	873	978
660	953	689	980
673	898	700	922
732	977	754	996
712	996	745	1029
712	801	739	834
742	802	773	836
751	832	797	884
598	624	626	656
716	693	748	726
713	704	757	739
858	740	886	766
874	727	902	760
779	674	804	696
749	639	776	670
971	1033	1015	1081
896	1010	945	1033
879	912	931	955
945	861	983	894
961	831	993	861
1008	820	1045	851
967	580	1012	617
1027	604	1054	629
1071	578	1104	607
1029	646	1059	675
1072	726	1107	762
1105	742	1132	769
1102	858	1131	884
1134	785	1166	817
1016	897	1042	921
1118	990	1162	1025
1139	993	1166	1019
1067	1080	1105	1112
1153	1113	1185	1146
1192	1151	1223	1187
1341	1133	1371	1162
1427	1065	1455	1091
1450	1069	1480	1099
1549	1087	1571	1114
1564	1156	1587	1181
1550	1059	1576	1082
1572	959	1599	992
1404	987	1437	1023
1433	915	1456	941
1311	808	1342	836
1388	791	1437	828
1550	894	1581	937
1572	866	1598	898
1477	748	1511	775
1498	716	1534	751
1549	735	1577	770
1547	767	1577	796
1507	632	1548	669
1387	652	1417	680
1331	666	1355	695
1266	786	1295	811
1234	949	1271	974
1183	883	1220	921
1276	931	1300	957
1302	955	1342	988
1217	1015	1255	1056
1184	958	1212	992
1454	878	1495	912
683	768	722	804
991	982	1023	1018
1438	579	1525	656
1456	562	1491	596
1484	569	1513	595
1515	588	1536	610
1517	580	1577	610
1543	479	1577	526
1200	511	1234	552
1232	533	1260	564
1252	596	1274	620
1280	610	1321	634
1023	460	1045	481
1008	447	1033	470
1009	401	1034	422
1000	322	1032	353
1023	260	1049	285
1146	425	1172	452
1093	356	1126	384
1170	410	1201	436
1251	442	1278	468
1276	412	1316	447
1304	410	1329	432
1562	398	1587	424
1587	385	1600	413
1554	331	1570	351
1588	355	1599	378
1573	280	1595	300
1521	310	1544	329
1474	350	1514	375
1434	389	1467	420
1394	334	1431	364
1265	262	1296	292
1242	258	1266	291
1257	228	1288	264
1295	215	1323	240
1315	228	1341	254
1332	299	1367	331
1312	319	1344	350
1311	274	1351	310
1311	268	1357	284
1048	106	1084	136
1043	90	1077	114
1049	71	1073	91
988	114	1016	137
995	128	1035	158
1040	174	1075	208
1042	210	1078	246
1094	183	1124	209
1111	206	1147	246
1204	162	1234	192
1205	135	1244	164
1380	123	1408	146
1391	94	1429	136
1548	151	1584	183
1557	186	1581	210
1474	42	1507	74
1239	31	1269	63
1207	27	1237	60
995	0	1021	21
1025	0	1056	11
1471	4	1504	34
1504	4	1534	30
1272	453	1310	490
641	7	685	52
276	1	310	22
318	573	373	609
272	586	308	617
257	600	281	649
343	636	380	671
366	590	402	632
