x1	y1	x2	y2
73	13	130	65
46	14	114	79
1	101	63	168
193	72	264	150
300	72	390	173
260	172	366	250
403	176	462	249
508	135	574	185
736	0	821	25
904	15	954	70
737	166	826	241
773	210	818	265
804	280	887	360
586	338	677	424
388	293	511	398
402	276	450	339
147	286	225	339
239	386	323	438
252	484	372	577
371	536	493	612
552	536	607	625
841	467	915	526
1	600	32	656
148	582	203	655
381	643	485	718
526	661	619	736
443	690	533	779
311	688	390	757
21	765	131	848
116	883	170	951
1	979	37	1038
364	888	447	952
509	913	602	961
665	805	746	856
781	663	879	750
770	796	867	878
635	903	718	982
470	1136	551	1203
732	1081	790	1145
288	885	353	937
109	651	164	697
36	713	126	760
722	572	811	653
1216	875	1331	990
1054	887	1131	936
1371	759	1434	813
1483	755	1591	839
1517	732	1599	793
1463	1058	1581	1165
1186	1165	1289	1197
1484	862	1558	927
1165	635	1234	705
1553	1043	1601	1117
1012	576	1082	643
1117	530	1206	604
1245	421	1300	484
1355	411	1433	493
1432	561	1510	626
1545	583	1599	652
1340	216	1410	288
1283	141	1377	207
1025	232	1125	321
959	200	1020	256
1076	322	1127	372
1059	381	1141	444
1136	343	1214	419
1096	305	1173	378
913	457	972	529
707	424	786	502
1068	8	1154	92
1153	37	1226	91
1417	3	1506	69
1472	34	1530	74
38	302	140	371
0	440	27	524
227	923	344	1018
742	1000	837	1089
1053	959	1141	1031
1106	690	1191	762
