x1	y1	x2	y2
33	494	90	542
170	422	235	458
275	362	317	400
410	173	442	225
435	250	483	298
478	441	526	471
495	476	532	504
418	535	448	565
393	503	421	533
414	490	445	514
429	503	454	532
399	440	464	486
522	759	558	793
760	194	804	256
1241	458	1278	506
1261	495	1286	536
1317	532	1365	561
1209	109	1249	157
945	717	973	756
1105	622	1131	660
323	470	413	512
887	19	924	40
938	2	966	52
1165	248	1195	286
1186	301	1213	348
980	905	1027	927
691	883	748	907
519	824	574	877
1243	1004	1277	1050
964	865	1030	900
882	892	938	926
804	916	863	962
747	944	788	968
586	844	634	884
473	748	504	779
460	950	490	994
-1	803	40	866
33	869	67	900
857	322	894	351
904	346	935	380
987	401	1010	440
